Experiment,Acid_Type,Acid_Params,Initial_pH,Target_pH,Final_pH,Steps_Taken,Success
755,monoprotic,5.85,2.03,6.40,6.38,1,Yes
756,triprotic,"[2.3168234278719626, 4.533834297752477, 7.072558558618292]",2.08,10.74,10.73,9,Yes
757,diprotic,"[2.6189371403408677, 6.673201647533656]",2.10,8.56,8.59,9,Yes
758,triprotic,"[3.606298215500539, 5.732282904175561, 6.545306975465715]",1.96,7.47,7.38,9,Yes
759,monoprotic,2.44,2.35,3.39,3.36,22,Yes
760,diprotic,"[2.019930994631918, 5.411686087083414]",2.46,6.11,6.07,7,Yes
761,monoprotic,2.55,2.95,4.99,4.92,25,Yes
762,triprotic,"[3.5400038722564293, 5.605682916347822, 6.573496298085271]",1.99,7.61,7.59,9,Yes
763,monoprotic,2.53,2.12,5.67,5.60,11,Yes
764,triprotic,"[3.751367274052814, 5.8576392966850825, 7.32075295544876]",2.22,4.72,4.66,5,Yes
765,diprotic,"[3.779386663104129, 6.8151880692442415]",3.49,8.84,8.80,10,Yes
766,triprotic,"[2.4046644821167553, 5.604114479629698, 7.191606614100543]",1.83,10.14,10.10,13,Yes
767,monoprotic,5.51,2.86,10.10,10.16,10,Yes
768,monoprotic,5.61,1.59,8.11,8.17,10,Yes
769,triprotic,"[2.254253302574749, 4.3473832303613715, 7.316693399091855]",1.98,7.60,7.50,8,Yes
770,triprotic,"[3.203673354774101, 4.3112546219794226, 7.567312801258752]",2.43,10.57,10.49,12,Yes
771,diprotic,"[3.6869241365606458, 5.172572690875564]",2.07,8.28,8.19,13,Yes
772,diprotic,"[2.7457938621744393, 5.119235407474958]",2.09,6.00,5.95,7,Yes
773,monoprotic,4.35,1.93,8.27,8.20,27,Yes
774,triprotic,"[3.8549652786122404, 4.9555470132801585, 6.289410907204861]",1.61,6.49,6.44,11,Yes
775,triprotic,"[3.053311453964114, 4.739288391008103, 6.111182426599162]",2.04,8.76,8.79,16,Yes
776,monoprotic,4.39,2.05,6.78,6.83,7,Yes
777,triprotic,"[3.230727764983252, 5.714461564585254, 6.049754458527437]",2.34,8.63,8.73,17,Yes
778,monoprotic,2.98,2.42,8.86,8.89,22,Yes
779,diprotic,"[2.95030831097617, 4.540276320110641]",2.03,8.28,8.32,27,Yes
780,triprotic,"[3.120636417116814, 4.57158594066015, 7.183812233334303]",1.87,9.63,9.62,14,Yes
781,triprotic,"[3.8440665221417745, 5.809766610394393, 7.190533622146184]",2.95,5.66,5.57,7,Yes
782,triprotic,"[3.5050362440051304, 5.939983211223277, 6.566887289402345]",2.97,5.24,5.18,5,Yes
783,monoprotic,5.79,2.04,2.84,2.79,9,Yes
784,diprotic,"[2.3919556609624144, 6.076156336276837]",3.49,10.48,1.88,50,No
785,monoprotic,4.06,1.85,9.99,10.02,15,Yes
786,triprotic,"[3.556878235109597, 5.918217706752875, 6.3061035286404605]",1.65,6.59,6.49,14,Yes
787,monoprotic,5.60,2.37,2.63,2.64,7,Yes
788,monoprotic,4.74,1.95,2.43,2.37,5,Yes
789,diprotic,"[3.5667107284838444, 6.527324678900387]",1.66,4.56,4.51,4,Yes
790,monoprotic,2.11,3.09,9.78,3.11,50,No
791,triprotic,"[3.430843480333454, 5.256845377327261, 7.8159902212804315]",1.58,9.33,9.29,9,Yes
792,monoprotic,2.65,1.74,9.31,9.40,13,Yes
793,monoprotic,5.39,2.11,7.35,7.39,7,Yes
794,triprotic,"[2.2117931821239427, 5.082843273691217, 7.69602144345264]",2.08,10.78,10.71,10,Yes
795,monoprotic,5.50,2.05,5.98,5.91,1,Yes
796,monoprotic,4.20,2.03,5.69,5.78,5,Yes
797,monoprotic,4.43,1.59,4.50,4.59,1,Yes
798,triprotic,"[3.4980213395679156, 4.469930671622764, 7.65021409671436]",2.36,10.45,10.45,10,Yes
799,monoprotic,5.05,1.95,4.65,4.71,5,Yes
800,diprotic,"[2.8705120068913264, 4.3997190931539]",1.81,7.67,7.59,21,Yes
801,monoprotic,2.60,3.07,6.80,6.66,50,No
802,monoprotic,5.00,1.60,7.62,7.56,6,Yes
803,diprotic,"[3.281582463983396, 6.879779700033193]",1.99,4.46,4.50,4,Yes
804,diprotic,"[3.551614604105408, 5.883323415750417]",1.70,5.28,5.23,5,Yes
805,monoprotic,4.41,2.34,8.03,8.07,21,Yes
806,diprotic,"[3.547925888744971, 4.371645914857611]",2.41,8.75,8.75,23,Yes
807,monoprotic,4.85,2.06,9.54,9.45,14,Yes
808,triprotic,"[3.435720407711022, 4.579370280886228, 6.145311942386828]",3.15,2.67,2.62,5,Yes
809,diprotic,"[2.591293179257197, 5.269767229448438]",1.58,3.50,3.46,5,Yes
810,monoprotic,4.58,1.74,4.93,4.89,2,Yes
811,diprotic,"[2.5806573457654896, 5.10393499679555]",1.88,2.33,2.26,4,Yes
812,triprotic,"[3.8195800016414987, 4.707413845765459, 6.618578867251044]",2.24,6.18,6.11,8,Yes
813,diprotic,"[2.3501215470779213, 4.546378510017008]",1.73,8.62,8.64,20,Yes
814,triprotic,"[3.1971880746914723, 5.289586492433166, 7.532014639772808]",1.61,8.61,8.65,8,Yes
815,monoprotic,2.93,2.80,9.67,9.70,13,Yes
816,triprotic,"[2.4580339405936673, 4.299227273156765, 7.282720849843747]",1.64,9.13,9.12,10,Yes
817,triprotic,"[3.8155364263135985, 4.040579119883407, 6.472808209622448]",2.02,4.46,4.37,12,Yes
818,monoprotic,3.28,2.31,2.47,2.45,2,Yes
819,monoprotic,2.19,1.71,8.85,8.88,18,Yes
820,triprotic,"[2.9633487688044777, 4.105933509359843, 6.638341372032762]",2.19,6.34,6.25,7,Yes
821,monoprotic,2.23,1.71,8.67,8.71,19,Yes
822,triprotic,"[3.7534519031831546, 4.181337953566889, 7.471869131375928]",1.90,9.43,9.36,11,Yes
823,diprotic,"[3.776248935203007, 5.147904937285988]",2.62,3.06,3.02,2,Yes
824,triprotic,"[2.9837220060331067, 5.10988992701607, 7.612197915866467]",1.80,8.75,8.70,7,Yes
825,diprotic,"[3.3542288410000234, 4.9957476613257]",3.03,10.89,10.84,10,Yes
826,triprotic,"[2.2132927045377935, 5.609376385782861, 6.492229831092635]",3.36,9.30,5.92,50,No
827,diprotic,"[2.850052810987647, 6.347196467162265]",2.38,3.49,3.45,6,Yes
828,diprotic,"[2.642574737838242, 5.38579728004118]",2.40,10.72,10.73,10,Yes
829,monoprotic,5.67,1.58,5.13,5.20,5,Yes
830,triprotic,"[3.03468890193449, 5.873260539340307, 7.318921745510865]",1.60,6.14,6.07,8,Yes
831,monoprotic,4.21,1.62,3.64,3.72,4,Yes
832,triprotic,"[3.2478505976251006, 4.658887247520286, 6.609836716606406]",1.58,8.57,8.64,12,Yes
833,monoprotic,3.03,2.01,4.50,4.53,3,Yes
834,diprotic,"[2.731336369784222, 5.747024941935778]",1.65,8.72,8.71,14,Yes
835,diprotic,"[2.882204299300488, 4.342460072168751]",2.19,3.81,3.72,7,Yes
836,diprotic,"[2.5740787697492467, 5.57511239231644]",1.94,6.17,6.10,7,Yes
837,monoprotic,5.05,1.84,8.17,8.08,14,Yes
838,triprotic,"[3.6399944078376714, 5.875336303095206, 7.10070296540016]",1.76,6.03,5.95,8,Yes
839,monoprotic,4.73,2.40,5.03,4.94,3,Yes
840,diprotic,"[3.5166929642973606, 6.041760614743808]",1.93,10.85,10.85,6,Yes
841,diprotic,"[2.01023711834001, 6.075962421394264]",2.44,5.32,5.23,28,Yes
842,triprotic,"[3.9388477845510974, 4.71989386461914, 7.490305492418885]",2.64,10.85,10.82,10,Yes
843,diprotic,"[3.4022431909121433, 6.670380018042055]",2.70,10.54,10.60,8,Yes
844,triprotic,"[3.362530812942196, 5.470957063558856, 7.86622258221063]",2.49,2.64,2.57,9,Yes
845,monoprotic,4.56,1.95,5.98,6.01,5,Yes
846,triprotic,"[3.0263244928506223, 5.857162497923755, 6.3413107299354134]",1.83,10.60,10.69,11,Yes
847,monoprotic,5.94,2.39,8.97,8.89,12,Yes
848,triprotic,"[3.1966557249135263, 4.587211167686511, 7.173998013970992]",2.76,5.98,5.95,6,Yes
849,triprotic,"[2.5928169966705132, 4.448571791727208, 7.808751907282684]",2.01,6.27,6.27,8,Yes
850,triprotic,"[3.477141379989796, 4.854226543890485, 7.516232897765169]",1.70,4.72,4.62,7,Yes
851,diprotic,"[2.0490959185331286, 4.820990289649533]",1.61,9.27,9.19,23,Yes
852,monoprotic,4.69,2.04,3.63,3.65,4,Yes
853,triprotic,"[3.982451991467201, 5.945512486187387, 6.810241486186405]",2.35,10.25,10.30,12,Yes
854,triprotic,"[2.531137123529825, 5.338919624802346, 6.2483549206690165]",2.39,8.57,8.57,16,Yes
855,monoprotic,5.61,1.72,10.21,10.14,12,Yes
856,triprotic,"[3.571907983944369, 5.848026391432029, 6.94629023737685]",2.24,2.90,2.92,1,Yes
857,triprotic,"[2.551202081876829, 5.945110050685207, 7.827086380635558]",1.71,2.31,2.24,4,Yes
858,diprotic,"[2.453067075977744, 6.6582517567109125]",2.05,7.31,7.22,6,Yes
859,diprotic,"[2.4124702119249166, 4.134754170029348]",2.44,10.50,10.55,8,Yes
860,diprotic,"[3.604624939524038, 6.68189708060502]",1.80,8.41,8.37,9,Yes
861,diprotic,"[3.3260729453546305, 6.830825024641538]",1.72,5.57,5.66,3,Yes
862,monoprotic,4.69,1.64,10.59,10.50,8,Yes
863,monoprotic,5.14,2.35,8.49,8.56,20,Yes
864,diprotic,"[2.3194634244087533, 5.243269771229606]",1.94,2.29,2.20,29,Yes
865,monoprotic,4.91,1.57,2.81,2.83,5,Yes
866,triprotic,"[2.6105627499708772, 5.194207313809059, 7.192918275288096]",2.45,5.55,5.45,7,Yes
867,monoprotic,3.46,1.97,3.36,3.27,3,Yes
868,monoprotic,5.49,2.37,3.93,3.94,5,Yes
869,monoprotic,4.25,2.36,8.79,8.82,25,Yes
870,diprotic,"[3.168144833812586, 4.658762684416064]",2.29,10.77,10.70,9,Yes
871,diprotic,"[3.012967460871308, 4.999488499710902]",2.02,2.45,2.38,2,Yes
872,diprotic,"[2.8703031797037006, 6.002248449108187]",2.39,6.31,6.24,7,Yes
873,triprotic,"[3.9423704608674353, 5.203385172441499, 7.7447457644136115]",1.78,5.06,4.98,8,Yes
874,diprotic,"[2.991143396541455, 4.915356643858441]",1.94,8.91,8.88,21,Yes
875,diprotic,"[3.316958379616344, 5.186815262671557]",2.49,5.85,5.81,8,Yes
876,monoprotic,5.53,2.49,9.91,9.94,15,Yes
877,triprotic,"[3.9844659561189144, 4.405552439200942, 7.594957367550331]",2.01,2.54,2.59,3,Yes
878,diprotic,"[2.8778781110945912, 6.456094264257541]",1.91,7.22,7.19,7,Yes
879,monoprotic,2.58,2.23,4.47,4.44,6,Yes
880,diprotic,"[2.013606681548076, 5.713929382068984]",1.68,10.40,10.42,8,Yes
881,diprotic,"[3.6379238971445407, 6.532388358277691]",2.09,3.26,3.24,1,Yes
882,triprotic,"[3.3313644970566667, 5.6008138344281555, 6.186276905801816]",2.30,5.96,5.87,12,Yes
883,triprotic,"[3.3144673981502555, 5.733605182258124, 6.0185251825709205]",2.46,8.59,8.56,15,Yes
884,monoprotic,5.50,1.89,3.02,2.94,7,Yes
885,diprotic,"[2.776338954795767, 6.463892194634802]",1.84,7.32,7.23,6,Yes
886,monoprotic,3.53,2.63,6.84,6.87,24,Yes
887,triprotic,"[2.0036535505303608, 5.584511251611949, 6.844627048963152]",2.27,5.70,5.63,7,Yes
888,monoprotic,2.93,1.69,10.91,10.94,7,Yes
889,triprotic,"[3.5163948720259617, 5.281737580946921, 7.970882080250737]",1.91,5.86,5.80,8,Yes
890,diprotic,"[3.7704951387089194, 4.797644105311484]",3.33,8.14,8.10,23,Yes
891,monoprotic,5.47,1.86,2.72,2.75,7,Yes
892,monoprotic,4.22,3.01,10.91,10.87,6,Yes
893,monoprotic,3.09,3.10,10.46,10.51,11,Yes
894,diprotic,"[2.5715903014556, 6.329347170603584]",1.64,9.91,9.90,12,Yes
895,monoprotic,4.14,1.95,9.86,9.91,12,Yes
896,triprotic,"[2.780762916481953, 5.0595127392645285, 7.546643236453414]",1.70,6.48,6.45,6,Yes
897,monoprotic,3.15,2.73,9.10,9.03,21,Yes
898,monoprotic,3.84,1.87,5.23,5.17,5,Yes
899,diprotic,"[3.955987143838758, 6.248151650197952]",1.65,5.45,5.37,4,Yes
900,triprotic,"[3.023549506426681, 5.6470392961428395, 6.818904536998753]",1.87,5.91,5.85,9,Yes
901,triprotic,"[2.4659168751109446, 4.123240008589731, 6.064854799235629]",2.12,6.35,6.26,9,Yes
902,diprotic,"[3.1054250685966007, 4.932206512448752]",1.98,4.12,4.04,6,Yes
903,triprotic,"[2.099444449926537, 5.477945613075034, 7.909870631407993]",2.31,3.81,3.73,22,Yes
904,monoprotic,2.12,2.35,4.86,4.93,22,Yes
905,diprotic,"[2.2796964272123734, 5.579672976716188]",2.27,2.47,2.38,44,Yes
906,triprotic,"[2.7414437994660315, 5.046101216798046, 7.716764741885809]",1.71,4.80,4.73,6,Yes
907,monoprotic,3.96,2.18,9.62,9.54,19,Yes
908,monoprotic,3.20,2.37,6.99,6.94,25,Yes
909,diprotic,"[2.1524408511094117, 6.907437884671127]",1.86,6.40,6.49,3,Yes
910,triprotic,"[3.2926644966654446, 4.503629040011719, 6.447437065117828]",1.60,10.08,10.11,15,Yes
911,triprotic,"[2.549054362287131, 5.0495044962934825, 7.260684075078]",1.92,4.14,4.06,4,Yes
912,diprotic,"[3.8511208420774414, 5.017185135647475]",2.35,6.12,6.04,6,Yes
913,triprotic,"[3.054008674289703, 4.810030469382719, 7.231756736811095]",1.59,3.33,3.25,5,Yes
914,monoprotic,4.56,2.70,3.14,3.20,4,Yes
915,diprotic,"[2.515598515913365, 4.4420444762102065]",2.99,6.87,6.88,41,Yes
916,triprotic,"[3.7744105843533013, 4.387175651168178, 7.932931733489217]",1.74,2.54,2.63,3,Yes
917,diprotic,"[3.661062681841937, 6.381023414521953]",2.40,4.25,4.17,5,Yes
918,triprotic,"[2.830346486497765, 5.776785074755262, 7.139331915246174]",2.02,10.81,10.76,11,Yes
919,triprotic,"[3.718074587020073, 4.708288899783094, 7.874732541233393]",1.72,7.80,7.72,7,Yes
920,triprotic,"[2.168766334945616, 4.762324994015144, 6.163324961866863]",3.35,2.62,2.53,15,Yes
921,triprotic,"[2.7928237741758357, 4.215904652502846, 6.133256341322052]",1.69,7.57,7.66,9,Yes
922,diprotic,"[2.839765736927357, 6.90050871477254]",1.98,6.95,6.89,6,Yes
923,triprotic,"[2.583122749865848, 5.28424605416239, 7.089580726575227]",2.38,6.42,6.35,8,Yes
924,triprotic,"[3.3181916096721524, 4.134088713815432, 7.834619127706026]",3.46,3.90,3.40,50,No
925,diprotic,"[3.4058865108967407, 4.795983238165301]",1.90,9.35,9.39,13,Yes
926,diprotic,"[2.1202296513338226, 6.902080554928366]",2.19,10.45,10.49,10,Yes
927,triprotic,"[2.0080150521383917, 5.313239746429716, 6.552588327332746]",2.15,10.95,11.00,5,Yes
928,diprotic,"[2.238227995113676, 6.917626616598126]",2.42,9.77,9.68,15,Yes
929,diprotic,"[3.3666263842522226, 6.77770270805276]",2.53,3.59,3.50,5,Yes
930,monoprotic,5.27,2.07,10.14,10.22,12,Yes
931,monoprotic,2.44,2.43,3.02,2.83,50,No
932,triprotic,"[2.3187103245449574, 4.77791959373869, 6.977204150791959]",2.56,8.69,8.61,12,Yes
933,diprotic,"[3.851654341609187, 4.2313402380813185]",3.42,2.01,1.95,3,Yes
934,monoprotic,4.27,1.78,8.22,8.14,19,Yes
935,triprotic,"[2.0619546144789975, 5.792600542765248, 7.222712859143858]",1.67,3.61,3.58,5,Yes
936,diprotic,"[3.5230858327011845, 4.961004004095705]",2.35,4.63,4.54,7,Yes
937,monoprotic,5.07,2.26,8.56,8.59,21,Yes
938,monoprotic,2.80,1.98,8.05,8.44,50,No
939,diprotic,"[2.472716802090817, 5.6885741463434645]",2.22,8.91,8.97,20,Yes
940,diprotic,"[2.563780922209468, 5.914739263387678]",3.02,9.06,8.97,19,Yes
941,diprotic,"[2.705879043079606, 4.789112177461496]",3.27,4.44,4.36,32,Yes
942,monoprotic,3.43,3.02,5.48,5.52,10,Yes
943,diprotic,"[2.440056052338897, 5.428285411852491]",2.37,3.42,3.36,22,Yes
944,triprotic,"[2.7001354365945867, 4.777006845888559, 6.959686586064601]",2.30,2.54,2.45,28,Yes
945,diprotic,"[3.0386930915220303, 4.207083168551334]",2.65,5.45,5.55,6,Yes
946,triprotic,"[3.1686425257669018, 4.702956972932107, 6.671082115045134]",2.27,4.62,4.54,8,Yes
947,diprotic,"[3.453504646865002, 4.1081130095398315]",3.14,5.80,5.80,9,Yes
948,monoprotic,3.16,1.88,7.88,7.84,13,Yes
949,diprotic,"[3.420489092426605, 4.509429328441868]",2.47,9.42,9.38,15,Yes
950,monoprotic,4.82,1.83,7.52,7.56,12,Yes
951,triprotic,"[3.619045576601243, 4.955071553377779, 6.22798708620061]",2.18,6.30,6.22,11,Yes
952,monoprotic,3.44,2.47,6.74,6.71,18,Yes
953,diprotic,"[3.503863378225695, 4.343021974853599]",2.13,8.58,8.58,27,Yes
954,triprotic,"[3.7605328378473386, 5.446074422858815, 7.934673099807876]",2.07,9.14,9.18,7,Yes
955,triprotic,"[2.308146176274098, 5.776374076868044, 6.501971098590597]",1.92,9.51,9.58,11,Yes
956,diprotic,"[2.9389848096900852, 5.179102924617952]",1.98,7.46,7.37,9,Yes
957,diprotic,"[3.4527116690285835, 4.606189965648433]",2.23,5.95,5.96,8,Yes
958,triprotic,"[2.465337545820888, 5.1862348946132055, 6.293185590965611]",2.47,6.93,6.85,10,Yes
959,diprotic,"[2.0226043813198653, 5.758844215219014]",1.77,3.52,3.48,5,Yes
960,diprotic,"[2.5466842789615165, 6.61075335013556]",3.25,8.06,8.02,24,Yes
961,triprotic,"[2.4331372011332597, 5.839226856070807, 7.513159711588322]",1.80,10.56,10.58,10,Yes
962,monoprotic,5.16,1.91,7.45,7.50,9,Yes
963,diprotic,"[3.2865711947613745, 5.470874956170859]",1.67,8.11,8.20,10,Yes
964,monoprotic,4.08,2.14,4.12,4.06,2,Yes
965,triprotic,"[3.2236986744712537, 4.737370927922284, 7.327852828751077]",1.67,8.05,7.99,9,Yes
966,triprotic,"[3.963651698939069, 4.958815023287801, 6.530844157303251]",2.24,2.63,2.62,3,Yes
967,diprotic,"[2.5349867373202244, 6.864393411000683]",2.46,2.19,2.11,9,Yes
968,diprotic,"[2.8700234414554067, 4.572014383912807]",3.50,9.87,4.71,50,No
969,triprotic,"[3.4940718841366065, 4.10637638627304, 7.794073072381363]",2.93,3.09,2.99,22,Yes
970,triprotic,"[3.255584019170126, 5.998684972852276, 6.516411290667308]",2.11,6.86,6.77,13,Yes
971,triprotic,"[3.9665374169038095, 5.814520915151251, 6.619340081602815]",2.36,9.96,10.02,10,Yes
972,triprotic,"[3.9851753195250432, 5.084774206085441, 6.240921322735412]",2.53,5.43,5.33,10,Yes
973,monoprotic,5.42,1.62,6.07,6.06,2,Yes
974,monoprotic,3.04,1.82,8.03,7.77,50,No
975,triprotic,"[2.0789881238515915, 5.077478872070609, 7.819975762124354]",2.29,8.24,8.17,9,Yes
976,triprotic,"[3.207334952716855, 4.533004936891852, 6.015133390455783]",1.83,2.99,2.92,3,Yes
977,diprotic,"[3.3676390262951905, 6.37483800651377]",2.43,2.54,2.45,49,Yes
978,monoprotic,4.48,2.09,8.92,8.99,26,Yes
979,triprotic,"[3.8706674594673176, 5.988939573060656, 7.537515170943981]",3.41,3.07,2.71,50,No
980,triprotic,"[2.4530886088660493, 4.661074228052397, 6.084416143798635]",2.44,3.45,3.40,24,Yes
981,triprotic,"[3.31605125794171, 5.621766816236385, 7.0903328827070204]",2.76,2.87,2.78,25,Yes
982,monoprotic,4.92,2.90,8.72,8.71,17,Yes
983,monoprotic,3.46,3.31,4.15,4.07,21,Yes
984,monoprotic,2.03,2.49,6.95,6.19,50,No
985,diprotic,"[2.6853106685266908, 5.949857368436736]",2.15,7.32,7.30,7,Yes
986,diprotic,"[2.7173759814239635, 6.3111395092651]",1.89,3.34,3.25,5,Yes
987,triprotic,"[2.489757813930754, 4.5098229375398695, 6.873983669878864]",2.33,4.75,4.68,8,Yes
988,diprotic,"[3.0123172741975472, 5.631215655845403]",1.66,4.37,4.34,4,Yes
989,triprotic,"[2.090151121913818, 5.486740460765701, 6.152989333407749]",2.25,5.04,4.95,4,Yes
990,diprotic,"[3.1189989992304543, 4.383082500333558]",1.98,6.75,6.72,13,Yes
991,triprotic,"[2.2244264093529837, 4.149853885054516, 6.457608988717113]",2.62,8.01,8.11,8,Yes
992,diprotic,"[3.7263876851931466, 4.461068098233725]",2.88,7.56,7.50,17,Yes
993,diprotic,"[2.801385652082243, 4.95494999719755]",1.67,4.50,4.40,5,Yes
994,triprotic,"[3.2703879474838478, 5.975653114999098, 7.78778613663444]",1.60,3.26,3.17,3,Yes
995,diprotic,"[2.082021899279704, 5.686287236197877]",2.31,4.13,4.17,22,Yes
996,triprotic,"[3.5593460252228617, 5.3282886591911005, 6.228628887956689]",1.61,4.17,4.09,5,Yes
997,monoprotic,2.58,2.32,2.95,2.86,18,Yes
998,diprotic,"[3.4197713259114044, 5.5435554613672435]",2.14,2.82,2.78,1,Yes
999,monoprotic,4.06,1.73,5.05,5.05,4,Yes
1000,triprotic,"[3.4572105334324394, 4.983284797905937, 7.867532118289265]",2.39,3.23,3.14,3,Yes
1001,triprotic,"[2.110173184771929, 5.985965253814687, 7.596900025058038]",1.65,8.57,8.51,8,Yes
1002,triprotic,"[2.7693620528770895, 4.982624003936001, 7.040834494600003]",2.61,10.67,10.71,10,Yes
1003,monoprotic,4.89,1.63,6.65,6.67,5,Yes
1004,diprotic,"[2.5750486348607926, 5.287439998044519]",2.30,2.03,1.96,5,Yes
1005,triprotic,"[2.3607653153860957, 5.871007090327229, 7.850199665214419]",1.60,5.36,5.29,4,Yes
1006,monoprotic,2.71,2.31,6.91,6.77,50,No
1007,triprotic,"[3.504940381378007, 4.793550359815991, 6.635899092797899]",2.68,10.90,10.83,9,Yes
1008,diprotic,"[2.982174342960475, 6.149367282390893]",1.79,9.56,9.55,16,Yes
1009,diprotic,"[3.0112865804007356, 4.4612432316714585]",2.80,3.75,3.66,24,Yes
1010,diprotic,"[2.9270451463631932, 4.394428529164447]",3.25,4.72,4.41,50,No
1011,diprotic,"[3.8273866301929678, 5.657460239205203]",1.73,7.40,7.46,6,Yes
1012,diprotic,"[3.6518258486710677, 4.408566397617877]",2.29,9.36,9.38,9,Yes
1013,triprotic,"[2.4912747114894485, 4.135283450670535, 6.66669755973286]",2.10,3.33,3.26,7,Yes
1014,diprotic,"[3.017402925304899, 6.718694289487378]",3.36,3.73,3.21,50,No
1015,triprotic,"[2.313360883795097, 5.460453769026636, 6.33225196018898]",1.72,2.02,1.96,4,Yes
1016,diprotic,"[3.311141094332122, 4.840823525944538]",2.41,7.07,7.10,12,Yes
1017,triprotic,"[3.4981759347667145, 5.659958308511477, 6.280155601972384]",1.94,3.01,3.07,1,Yes
1018,triprotic,"[2.1041989703259576, 5.962539892434343, 6.418196749284203]",1.76,7.03,6.96,13,Yes
1019,monoprotic,4.76,2.16,2.90,2.95,6,Yes
1020,diprotic,"[3.2651856881498045, 6.964754431317276]",1.82,3.85,3.77,5,Yes
1021,diprotic,"[2.6405526002489874, 4.554006677911804]",2.38,10.10,10.14,12,Yes
1022,monoprotic,3.28,2.08,8.73,8.74,18,Yes
1023,diprotic,"[3.9497138951849395, 5.476370609434245]",2.73,2.04,1.96,2,Yes
1024,triprotic,"[2.542685902097058, 5.771686338170775, 7.024537338976183]",2.16,8.20,8.20,8,Yes
1025,diprotic,"[2.6697300678603333, 6.381144369179708]",2.49,8.31,8.24,10,Yes
1026,triprotic,"[3.152432654199024, 5.229271924922008, 7.684941633789032]",1.72,10.94,11.04,8,Yes
1027,triprotic,"[3.958890220570709, 5.87160273988526, 7.630038734282326]",1.66,2.00,2.07,10,Yes
1028,monoprotic,2.10,2.07,9.69,9.67,12,Yes
1029,diprotic,"[3.2901466234478525, 6.352718285259892]",1.89,7.54,7.45,5,Yes
1030,monoprotic,3.13,2.28,8.52,8.46,18,Yes
1031,diprotic,"[2.6859224419007433, 5.766097998848469]",2.14,3.68,3.67,5,Yes
1032,triprotic,"[3.6643134802427415, 5.971158985877297, 7.156386547468386]",3.48,3.48,2.56,50,No
1033,triprotic,"[2.2526485147557898, 4.20606548552189, 7.043102451485577]",1.61,2.49,2.41,6,Yes
1034,monoprotic,2.90,3.07,4.94,5.00,26,Yes
1035,diprotic,"[3.4794246895692065, 4.7424112092669715]",1.61,5.15,5.10,9,Yes
1036,diprotic,"[2.576875079851633, 6.376950893311412]",2.27,8.44,8.46,13,Yes
1037,monoprotic,2.80,2.18,8.25,8.44,50,No
1038,monoprotic,3.36,2.22,9.54,9.45,20,Yes
1039,monoprotic,2.18,1.73,2.49,2.40,6,Yes
1040,monoprotic,2.98,2.02,4.18,4.22,4,Yes
1041,monoprotic,4.11,3.43,10.50,3.16,50,No
1042,triprotic,"[3.376543738716621, 5.997076302250429, 6.1769112952139995]",2.32,7.40,7.43,9,Yes
1043,diprotic,"[3.9786518334963126, 4.2466899059955]",2.90,6.70,6.69,12,Yes
1044,monoprotic,2.67,2.46,2.50,2.13,50,No
1045,triprotic,"[3.3031315591490147, 5.906413660300171, 7.813076498053759]",2.49,2.90,2.83,3,Yes
1046,monoprotic,2.95,2.45,10.23,10.30,11,Yes
1047,diprotic,"[3.035133808071083, 4.888524853186594]",1.69,10.12,10.14,13,Yes
1048,diprotic,"[2.7326079787336903, 4.5048221584358075]",2.66,8.62,8.63,19,Yes
1049,monoprotic,4.89,2.46,3.60,3.59,6,Yes
1050,monoprotic,4.72,1.83,2.51,2.55,5,Yes
1051,monoprotic,2.40,1.74,8.65,8.71,20,Yes
1052,monoprotic,5.96,1.60,6.36,6.39,2,Yes
1053,diprotic,"[3.2559893529415875, 5.79145741733835]",1.78,3.98,3.91,5,Yes
1054,triprotic,"[3.7046502235738172, 5.756422366687884, 7.194521011183026]",1.79,7.10,7.02,10,Yes
1055,triprotic,"[2.387887224365928, 4.6462743444158825, 6.10467837507812]",2.91,7.86,7.91,11,Yes
1056,diprotic,"[2.267579551398109, 4.20505175977797]",1.68,9.70,9.65,16,Yes
1057,monoprotic,4.56,2.24,6.08,6.11,6,Yes
1058,monoprotic,5.14,2.24,7.71,7.70,12,Yes
1059,diprotic,"[2.1781084451974744, 4.512266768675244]",2.33,3.96,3.91,27,Yes
1060,monoprotic,4.38,1.78,7.44,7.42,10,Yes
1061,triprotic,"[2.512461662958663, 4.124863701889221, 7.046111575544292]",1.98,6.37,6.33,6,Yes
1062,monoprotic,3.96,1.90,6.54,6.52,15,Yes
1063,triprotic,"[2.645311412696942, 5.752535246216127, 7.2607463700367525]",2.09,4.37,4.43,3,Yes
1064,monoprotic,4.86,1.77,3.99,4.03,5,Yes
1065,diprotic,"[3.2970761138246134, 5.169547744148138]",2.19,4.05,3.99,6,Yes
1066,monoprotic,3.93,2.18,9.05,9.06,20,Yes
1067,triprotic,"[2.3191090858889623, 4.498565487795203, 7.9628561028370095]",2.37,9.25,9.30,7,Yes
1068,triprotic,"[2.857120975366114, 4.5555543493748845, 7.672378040136552]",1.79,4.38,4.29,7,Yes
1069,diprotic,"[3.4211730454560456, 4.436800770180233]",2.25,6.99,7.00,15,Yes
1070,diprotic,"[3.696506976031463, 4.618671982631148]",1.82,3.11,3.18,4,Yes
1071,diprotic,"[2.730741198890632, 5.882708065186878]",2.75,10.18,10.23,11,Yes
